id,description,difficulty_level,topic,is_published,created_at,updated_at,detailed_solution,type,is_mandatory,show_in_feed,pyq_label,topic_id,reading_material_id,fixed_at,fix_summary,created_by,updated_by,quiz_level,question_from,language,photo_url,photo_solution_url,is_saved,tag,options
1827,The tissue which has free surface that faces either a body fluid or the outside environment is called characteristics of the,,structural organisation in animals ,True,2024-07-02T12:43:34.360+05:30,2024-11-30T18:39:20.587+05:30,"**Explanation:**

The tissue that has a free surface is called **epithelial tissue**. This free surface may face either a body fluid (such as blood, lymph, or mucus) or the outside environment.

**Characteristics of Epithelial Tissue:**

* **Free Surface:** The cells have an exposed surface that faces either a body fluid or the external environment.
* **Apical Surface:** The surface facing the external environment or body cavity.
* **Basal Surface:** The surface attached to the connective tissue below.
* **Closely Packed:** The cells are closely packed together with minimal intercellular space.
* **Polarized Cells:** They are generally polarized, with different apical and basal surfaces and functions.
* **Basement Membrane:** The basal surface is supported by a basement membrane, which separates the epithelium from the underlying connective tissue.
* **Avascular:** Epithelial cells are avascular, meaning they lack blood vessels. They receive nutrients from the underlying connective tissue through diffusion.

**Functions of Epithelial Tissue:**

* **Protection:** Forms a physical barrier against pathogens, chemicals, and physical damage.
* **Secretion:** Secretes various substances, such as mucus, enzymes, and hormones.
* **Absorption:** Facilitates the uptake of substances from the external environment or body fluids.
* **Excretion:** Helps eliminate waste products from the body.
* **Sensory:** Contains specialized cells that detect changes in the environment and transmit sensory information.

**Additional Context:**

Epithelial tissue is classified into different types based on its structure and function. Some of the common types include:

* **Simple Epithelium:** Consists of a single layer of cells.
* **Stratified Epithelium:** Consists of multiple layers of cells.
* **Glandular Epithelium:** Specialized for secretion of substances.
* **Sensory Epithelium:** Contains specialized sensory cells.",,False,False,,146,2016,,,,,,Q-bank,,,,False,,"[{'id': 7321, 'description': 'Muscular tissue', 'question_id': 1827, 'is_correct': False, 'created_at': '2024-07-02T12:43:34.365+05:30', 'updated_at': '2024-07-02T12:43:34.365+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7322, 'description': 'Fluid connective tissue', 'question_id': 1827, 'is_correct': False, 'created_at': '2024-07-02T12:43:34.369+05:30', 'updated_at': '2024-07-02T12:43:34.369+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7323, 'description': 'Epithelial tissue', 'question_id': 1827, 'is_correct': True, 'created_at': '2024-07-02T12:43:34.372+05:30', 'updated_at': '2024-07-02T12:43:34.372+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7324, 'description': 'Nervous tissue', 'question_id': 1827, 'is_correct': False, 'created_at': '2024-07-02T12:43:34.376+05:30', 'updated_at': '2024-07-02T12:43:34.376+05:30', 'unanswered': False, 'photo_url': None}]"
1828,"Epithelial tissue is distinguished from connective tissue, muscular, or nervous tissue by its",,structural organisation in animals ,True,2024-07-02T12:50:56.100+05:30,2024-11-30T18:39:20.788+05:30,"**Epithelial Tissue**

* Epithelial tissue is a continuous sheet of cells that covers the body and lines its internal cavities.
* It serves as a barrier between the internal environment of the body and the external environment.

**Distinguishing Features of Epithelial Tissue**

Epithelial tissue is distinguished from connective tissue, muscular tissue, and nervous tissue by its:

**1. Basement Membrane:**

* Epithelial tissue rests on a thin layer called the basement membrane.
* The basement membrane is a non-cellular layer secreted by the epithelial cells.
* It anchors the epithelial tissue to the underlying connective tissue and provides structural support.

**2. Cell Junctions:**

* Epithelial cells are closely packed together and have tight junctions between them.
* These junctions create a barrier that prevents substances from leaking out of the body or entering it.

**3. Avascularity:**

* Epithelial tissue is avascular, meaning it does not have blood vessels.
* It receives nutrients from the underlying connective tissue through diffusion.

**Additional Context:**

* Epithelial tissue is classified into various types based on:
    * Number of cell layers (simple, stratified)
    * Shape of cells (squamous, cuboidal, columnar)
    * Presence of specializations (goblet cells, cilia)

* Epithelial tissue performs a wide range of functions, including:
    * Protection
    * Absorption
    * Secretion
    * Exchange of gases
    * Sensory reception",,False,False,,146,2017,,,,,,Q-bank,,,,False,,"[{'id': 7325, 'description': 'large extracellular matrix', 'question_id': 1828, 'is_correct': False, 'created_at': '2024-07-02T12:50:56.110+05:30', 'updated_at': '2024-07-02T12:50:56.110+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7326, 'description': 'contractibility', 'question_id': 1828, 'is_correct': False, 'created_at': '2024-07-02T12:50:56.114+05:30', 'updated_at': '2024-07-02T12:50:56.114+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7327, 'description': 'ability to carry action potentials', 'question_id': 1828, 'is_correct': False, 'created_at': '2024-07-02T12:50:56.116+05:30', 'updated_at': '2024-07-02T12:50:56.116+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7328, 'description': 'basement membrane', 'question_id': 1828, 'is_correct': True, 'created_at': '2024-07-02T12:50:56.119+05:30', 'updated_at': '2024-07-02T12:50:56.119+05:30', 'unanswered': False, 'photo_url': None}]"
1829,The ciliated columnar epithelial cells in humans occur in,,structural organisation in animals ,True,2024-07-02T12:54:25.824+05:30,2024-11-30T18:39:20.990+05:30,"**Explanation:**

Ciliated columnar epithelial cells are found in areas where movement of substances or particles is required.

* **Bronchioles:** These are the smallest branches of the respiratory system, and they carry air to the alveoli. The ciliated cells in the bronchioles help to move mucus and foreign particles out of the lungs.
* **Fallopian tubes:** These are the tubes that connect the ovaries to the uterus. The ciliated cells in the fallopian tubes help to move the egg from the ovary to the uterus.

In addition to the bronchioles and fallopian tubes, ciliated columnar epithelial cells are also found in the trachea, nasal cavity, paranasal sinuses, and middle ear.

**Additional Context:**

* Ciliated columnar epithelial cells are characterized by the presence of cilia, which are small, hair-like extensions of the cell membrane.
* Cilia beat in a coordinated manner, which helps to move substances or particles along the surface of the epithelium.
* The movement of substances or particles by ciliated columnar epithelial cells is essential for a variety of functions in the body, including respiration, reproduction, and the removal of foreign particles from the respiratory system.",,False,False,,146,2018,,,,,,Q-bank,,,,False,,"[{'id': 7329, 'description': 'Eustachian tube and stomach lining', 'question_id': 1829, 'is_correct': False, 'created_at': '2024-07-02T12:54:25.831+05:30', 'updated_at': '2024-07-02T12:54:25.831+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7330, 'description': 'bronchioles and fallopian tubes', 'question_id': 1829, 'is_correct': True, 'created_at': '2024-07-02T12:54:25.836+05:30', 'updated_at': '2024-07-02T12:54:25.836+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7331, 'description': 'bile duct and oesophagus', 'question_id': 1829, 'is_correct': False, 'created_at': '2024-07-02T12:54:25.839+05:30', 'updated_at': '2024-07-02T12:54:25.839+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7332, 'description': 'fallopian tubes and urethra', 'question_id': 1829, 'is_correct': False, 'created_at': '2024-07-02T12:54:25.843+05:30', 'updated_at': '2024-07-02T12:54:25.843+05:30', 'unanswered': False, 'photo_url': None}]"
1830,The squamous epithelium is found in,,structural organisation in animals ,True,2024-07-02T12:56:48.204+05:30,2024-11-30T18:39:21.192+05:30,"**Explanation:**

Squamous epithelium is a type of simple epithelium characterized by thin, flattened cells. It is found in areas where exchange of materials occurs, such as the lining of blood vessels, alveoli in the lungs, and the lining of Bowman's capsule in the kidneys.

In the lungs, the squamous epithelium is found in the air sacs, also known as alveoli. The alveoli are small, thin-walled sacs that allow for the exchange of oxygen and carbon dioxide between the blood and the air we breathe. The squamous epithelium lining the alveoli is only one cell thick, which facilitates the efficient diffusion of gases.

Therefore, the correct answer is: air sacs of lungs.

**Additional Context:**

* Squamous epithelium is also found in:
    * Lining of blood vessels (endothelium)
    * Lining of serosal cavities (e.g., pleura, peritoneum)
    * Lining of Bowman's capsule in kidneys
* Its main function is to regulate the movement of substances across membranes.
* It has a low permeability and high resistance to the movement of molecules.",,False,False,,146,2019,,,,,,Q-bank,,,,False,,"[{'id': 7333, 'description': 'stomach', 'question_id': 1830, 'is_correct': False, 'created_at': '2024-07-02T12:56:48.207+05:30', 'updated_at': '2024-07-02T12:56:48.207+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7334, 'description': 'intestine', 'question_id': 1830, 'is_correct': False, 'created_at': '2024-07-02T12:56:48.210+05:30', 'updated_at': '2024-07-02T12:56:48.210+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7335, 'description': 'trachea', 'question_id': 1830, 'is_correct': False, 'created_at': '2024-07-02T12:56:48.212+05:30', 'updated_at': '2024-07-02T12:56:48.212+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7336, 'description': 'air sacs of lungs', 'question_id': 1830, 'is_correct': True, 'created_at': '2024-07-02T12:56:48.214+05:30', 'updated_at': '2024-07-02T12:56:48.214+05:30', 'unanswered': False, 'photo_url': None}]"
1831,The kind of epithelium which forms the inner walls of blood vessels is,,structural organisation in animals ,True,2024-07-02T12:58:51.241+05:30,2024-11-30T18:39:21.398+05:30,"**Answer is correct because:**

Squamous epithelium is a thin, flattened layer of cells that line the inner walls of blood vessels, as well as the alveoli of the lungs and the lining of the heart. It is composed of a single layer of cells that are closely packed together, and the cells are thin and flattened in shape. This type of epithelium is well-suited for lining the inner walls of blood vessels because it is very thin and allows for the easy exchange of substances between the blood and the surrounding tissues.

**Additional context:**

* **Simple squamous epithelium:** This is the simplest type of squamous epithelium, and it consists of a single layer of thin, flattened cells. It is found in the lining of blood vessels, the alveoli of the lungs, and the lining of the heart.
* **Stratified squamous epithelium:** This type of squamous epithelium is composed of multiple layers of cells, and the cells are flattened in shape. It is found in the skin, the esophagus, and the vagina.

**Functions of squamous epithelium:**

* Protection: Squamous epithelium helps to protect the underlying tissues from damage.
* Exchange of substances: Squamous epithelium allows for the easy exchange of substances between the blood and the surrounding tissues.
* Secretion: Squamous epithelium can secrete substances, such as mucus, to help protect the underlying tissues.",,False,False,,146,2020,,,,,,Q-bank,,,,False,,"[{'id': 7337, 'description': 'cuboidal epithelium', 'question_id': 1831, 'is_correct': False, 'created_at': '2024-07-02T12:58:51.250+05:30', 'updated_at': '2024-07-02T12:58:51.250+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7338, 'description': 'columnar epithelium', 'question_id': 1831, 'is_correct': False, 'created_at': '2024-07-02T12:58:51.256+05:30', 'updated_at': '2024-07-02T12:58:51.256+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7339, 'description': 'ciliated columnar epithelium', 'question_id': 1831, 'is_correct': False, 'created_at': '2024-07-02T12:58:51.260+05:30', 'updated_at': '2024-07-02T12:58:51.260+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7340, 'description': 'squamous epithelium', 'question_id': 1831, 'is_correct': True, 'created_at': '2024-07-02T12:58:51.265+05:30', 'updated_at': '2024-07-02T12:58:51.265+05:30', 'unanswered': False, 'photo_url': None}]"
1832,Which of the following type of cell junction is not found in animal tissues?,,structural organisation in animals ,True,2024-07-02T13:12:19.723+05:30,2024-11-30T18:39:21.601+05:30,"**Explanation:**

Animal tissues do not have plasmodesmata, which are specialized cell junctions found in plant tissues. Plasmodesmata are channels that connect the cytoplasm of adjacent plant cells, allowing for the exchange of molecules and ions.

**Additional context:**

* **Cell junctions:**
    * Plasmodesmata are found in plant tissues, allowing for direct cytoplasmic communication between adjacent cells.
    * Animal tissues have various types of cell junctions, including tight junctions, adherens junctions, gap junctions, and desmosomes.
* **NEET exam:**
    * The National Eligibility cum Entrance Test (NEET) is an entrance exam for admission to undergraduate medical and dental programs in India.
    * Biology, including structural organization in animals, is a significant portion of the NEET syllabus.",,False,False,,146,2021,,,,,,Q-bank,,,,False,,"[{'id': 7341, 'description': 'Adhering junction', 'question_id': 1832, 'is_correct': False, 'created_at': '2024-07-02T13:12:19.727+05:30', 'updated_at': '2024-07-02T13:12:19.727+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7342, 'description': 'Tight junction', 'question_id': 1832, 'is_correct': False, 'created_at': '2024-07-02T13:12:19.729+05:30', 'updated_at': '2024-07-02T13:12:19.729+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7343, 'description': 'Gap junction', 'question_id': 1832, 'is_correct': False, 'created_at': '2024-07-02T13:12:19.731+05:30', 'updated_at': '2024-07-02T13:12:19.731+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7344, 'description': 'Plasmodesmata', 'question_id': 1832, 'is_correct': True, 'created_at': '2024-07-02T13:12:19.734+05:30', 'updated_at': '2024-07-02T13:12:19.734+05:30', 'unanswered': False, 'photo_url': None}]"
1833,Which of the following statement is incorrect regarding cuboidal epithelium?,,structural organisation in animals ,True,2024-07-02T13:13:36.531+05:30,2024-11-30T18:39:21.807+05:30,"**Explanation:**

Cuboidal epithelium is composed of cube-shaped cells. They are found in many parts of the body, including the **walls of blood vessels** and the **air sacs of lungs**. However, they are **NOT** found in the walls of air sacs of lungs. The walls of air sacs of lungs are lined by **squamous epithelium**, which is composed of thin, flat cells.

**Additional context:**

* **Epithelium** is a type of tissue that lines the surfaces of the body and its internal organs.
* There are three main types of epithelium: squamous, cuboidal, and columnar.
* **Squamous epithelium** is composed of thin, flat cells. It is found in the lining of blood vessels and the air sacs of lungs.
* **Cuboidal epithelium** is composed of cube-shaped cells. It is found in the lining of the kidneys, the pancreas, and the salivary glands.
* **Columnar epithelium** is composed of tall, column-shaped cells. It is found in the lining of the stomach and intestines.",,False,False,,146,2022,,,,,,Q-bank,,,,False,,"[{'id': 7345, 'description': 'It is an epithelial tissue', 'question_id': 1833, 'is_correct': False, 'created_at': '2024-07-02T13:13:36.539+05:30', 'updated_at': '2024-07-02T13:13:36.539+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7346, 'description': 'It is composed of a single layer of cube-like cells.', 'question_id': 1833, 'is_correct': False, 'created_at': '2024-07-02T13:13:36.548+05:30', 'updated_at': '2024-07-02T13:13:36.548+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7347, 'description': 'They are found in the walls of blood vessels and air sacs of lungs.', 'question_id': 1833, 'is_correct': True, 'created_at': '2024-07-02T13:13:36.554+05:30', 'updated_at': '2024-07-02T13:13:36.554+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7348, 'description': 'Secretion and absorption are the main functions of these tissue.', 'question_id': 1833, 'is_correct': False, 'created_at': '2024-07-02T13:13:36.556+05:30', 'updated_at': '2024-07-02T13:13:36.556+05:30', 'unanswered': False, 'photo_url': None}]"
1834,Which of the following statement(s) is/are correct  regarding compound epithelium?,,structural organisation in animals ,True,2024-07-02T13:14:55.480+05:30,2024-11-30T18:39:22.015+05:30,"**Explanation:**

Compound epithelium refers to an epithelium that consists of more than one layer of cells. 

**The correct statements regarding compound epithelium are:**

1. **It provides strength and support:** Compound epithelium offers physical stability and protection to the underlying tissues.
2. **It can have multiple functions:** Different layers of compound epithelium may have specialized functions, such as secretion, absorption, or protection.
3. **It is found in areas subjected to wear and tear:** Compound epithelium is found in locations that experience friction or abrasion, such as the skin, mouth, and esophagus.

**Additional context:**

* Simple epithelium consists of only one layer of cells.
* Stratified epithelium has multiple layers of cells.
* Compound epithelium is a type of stratified epithelium in which the topmost layer is specialized.",,False,False,,146,2023,,,,,,Q-bank,,,,False,,"[{'id': 7349, 'description': 'It is made of more than one layer of cells and thus has a limited role in secretion and absorption.', 'question_id': 1834, 'is_correct': False, 'created_at': '2024-07-02T13:14:55.484+05:30', 'updated_at': '2024-07-02T13:14:55.484+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7350, 'description': 'Their main function is to provide protection against chemical and mechanical stresses.', 'question_id': 1834, 'is_correct': False, 'created_at': '2024-07-02T13:14:55.486+05:30', 'updated_at': '2024-07-02T13:14:55.486+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7351, 'description': 'They cover the dry surface of the skin, moist surface of buccal cavity, pharynx, inner lining of ducts of salivary glands and pancreatic ducts.', 'question_id': 1834, 'is_correct': False, 'created_at': '2024-07-02T13:14:55.490+05:30', 'updated_at': '2024-07-02T13:14:55.490+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7352, 'description': 'All of the above', 'question_id': 1834, 'is_correct': True, 'created_at': '2024-07-02T13:14:55.506+05:30', 'updated_at': '2024-07-02T13:14:55.506+05:30', 'unanswered': False, 'photo_url': None}]"
1835,"Ciliated simple columnar epithelium often contains _________,which increase the surface area for secretion and absorption.",,structural organisation in animals ,True,2024-07-02T13:16:21.469+05:30,2024-11-30T18:39:22.223+05:30,,,False,False,,146,2024,,,,,,Q-bank,,,,False,,"[{'id': 7353, 'description': 'flagella', 'question_id': 1835, 'is_correct': False, 'created_at': '2024-07-02T13:16:21.473+05:30', 'updated_at': '2024-07-02T13:16:21.473+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7354, 'description': 'collagen fibres', 'question_id': 1835, 'is_correct': False, 'created_at': '2024-07-02T13:16:21.476+05:30', 'updated_at': '2024-07-02T13:16:21.476+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7355, 'description': 'microvilli', 'question_id': 1835, 'is_correct': True, 'created_at': '2024-07-02T13:16:21.480+05:30', 'updated_at': '2024-07-02T13:16:21.480+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7356, 'description': 'all of these', 'question_id': 1835, 'is_correct': False, 'created_at': '2024-07-02T13:16:21.482+05:30', 'updated_at': '2024-07-02T13:16:21.482+05:30', 'unanswered': False, 'photo_url': None}]"
1836,A student was given a sample of two tissues. He observes the tissues under the microscope and draws their figures (1 and 2) as shown below. Identify the tissues (1 and 2).,,structural organisation in animals ,True,2024-07-02T13:19:19.118+05:30,2024-12-31T23:57:10.149+05:30,"**Detailed explanation:**

**Tissue 1: Columnar cells bearing cilia**

* **Cell shape:** Tall and column-shaped.
* **Arrangement:** Arranged in a single layer.
* **Surface membrane:** Cilia (short, hair-like projections) present on the apical surface.
* **Function:** Cilia beat in a coordinated manner to move substances (e.g., mucus) along the surface of the tissue.

**Tissue 2: Multicellular glandular epithelium**

* **Cell shape:** Cube-shaped or oval.
* **Arrangement:** Arranged in a single layer.
* **Surface membrane:** No cilia or microvilli present.
* **Function:** Secrete substances that are stored in the cells in the form of granules or droplets.

**Additional context:**

* Epithelial tissues are thin layers of cells that cover the surfaces of the body and line its cavities.
* They are classified based on their shape, arrangement, and function.
* Columnar epithelium is found in the lining of the respiratory tract, fallopian tubes, and small intestine.
* Glandular epithelium is found in glands, which are organs that produce and secrete substances.",,False,False,,146,2025,2024-12-31T00:00:00.000+05:30,Both the question and answer are correct. No correction needed.,,kanza@testline.in,,Q-bank,,https://tlpl-docs.s3.ap-south-1.amazonaws.com/tlpl_neet/svvhbvu4kmd9llj6xsdixoftyg6y?response-content-disposition=inline%3B%20filename%3D%221401.jpg%22%3B%20filename%2A%3DUTF-8%27%271401.jpg&response-content-type=image%2Fjpeg&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4RXKHO4ST4B5MOBS%2F20250117%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20250117T102950Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=a7d3ce1bbc0b6bbeaf5bd92bfbf7d21cbfb64f0cc0969fd1131aa39d2cca3e19,,False,,"[{'id': 7357, 'description': '1: Columnar cells bearing cilia: 2: Unicellular glandular epithelium', 'question_id': 1836, 'is_correct': False, 'created_at': '2024-07-02T13:19:19.122+05:30', 'updated_at': '2024-07-02T13:19:19.122+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7358, 'description': '1: Cuboidal cells bearing cilia: 2: Multicellular glandular epithelium', 'question_id': 1836, 'is_correct': False, 'created_at': '2024-07-02T13:19:19.125+05:30', 'updated_at': '2024-07-02T13:19:19.125+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7359, 'description': '1: Compound cells bearing cilia; 2: Unicellular glandular epithelium', 'question_id': 1836, 'is_correct': False, 'created_at': '2024-07-02T13:19:19.127+05:30', 'updated_at': '2024-07-03T19:14:00.223+05:30', 'unanswered': False, 'photo_url': None}, {'id': 7360, 'description': '1. Columnar cells bearing cilia; 2: Multicellular glandular epithelium', 'question_id': 1836, 'is_correct': True, 'created_at': '2024-07-02T13:19:19.130+05:30', 'updated_at': '2024-07-02T13:19:25.384+05:30', 'unanswered': False, 'photo_url': None}]"
